sys.creative_design.ideation_concepts	围绕这个主题再想几种出人意料的创意	Let's explore several original concepts for this brief
sys.business_entrepreneurship.entrepreneurship	准备自己开一家小店，最先要验证什么	I'm considering starting a company from scratch
sys.business_entrepreneurship.business_strategy	公司是专注现有客群还是进入新市场	What direction should the business take over the next year
sys.business_entrepreneurship.market_research	进入这个行业之前想了解客户和竞争格局	How large is this market and who else serves it
sys.business_entrepreneurship.marketing_growth	产品有了但没人知道，怎样找到第一批用户	Which channels can help us attract and retain users
sys.business_entrepreneurship.sales	潜在客户犹豫不决，下一步怎么推进	How can I close this sales opportunity
sys.business_entrepreneurship.operations_process	订单处理总是靠人工转表，流程怎么优化	We need a more reliable process for daily operations
sys.business_entrepreneurship.customer_feedback	用户集中抱怨某一步太复杂，怎样回应	How should our support team handle recurring complaints
sys.business_entrepreneurship.partnerships	两家公司要联合推出服务，责任如何划分	What terms make sense for this business collaboration
sys.time_events.calendar_scheduling	把下周的几场会议避开已有安排	Find a free slot on my calendar for these meetings
sys.time_events.reminders_deadlines	请在交材料前两天提醒我	The application is due soon; make sure I don't miss it
sys.time_events.time_management	一天总被零碎任务切开，怎么分配时间	I want to spend my day more deliberately
sys.time_events.routines_recurring	每个星期一固定做一次整理安排	Set up a routine that repeats each month
sys.time_events.celebrations_holidays	父亲生日快到了，怎样准备一个小惊喜	What should we do to celebrate the holiday
sys.time_events.life_events	孩子入学前家里要做哪些准备	How should I handle this major change in family life
sys.time_events.appointments_bookings	这周哪天能约到牙医	Can you help reserve a time for the consultation
sys.time_events.plans_checklists	出发前怕漏东西，帮我列一份待办	Make me a checklist for the upcoming move
sys.knowledge_memory.notes_knowledge_management	读书摘录散在各处，怎样连成可检索的笔记	How can I build a system for organizing what I learn
sys.knowledge_memory.personal_archive	旧的个人资料想集中保存并方便以后查找	I want a durable archive of my personal records
sys.knowledge_memory.journaling	今天发生的事想留下一段自己的记录	I'd like to write a private entry about my day
sys.knowledge_memory.photos_media_archive	把家庭相册按年份和人物整理	How should I catalog my old videos and pictures
sys.knowledge_memory.files_documents_storage	电子合同和扫描件放哪里才不容易丢	Where should these digital files live so I can find them
sys.knowledge_memory.backup_export	换电脑前把数据完整迁出并留个副本	How do I back up and export everything safely
sys.knowledge_memory.memory_context	助手老忘记我说过的偏好，怎样设置长期记忆	What context should my assistant retain between conversations
sys.knowledge_memory.provenance_history	这份笔记现在的内容和上周版本有什么差别	Can I trace the source and edit history of this record
